ダウンロードした時刻：2019/11/09 16:04:18

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月,平均気温(℃),平均気温(℃),平均気温(℃),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),最多風向(16方位),最多風向(16方位),最多風向(16方位),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2018/1,4.7,8,1,206.1,0,8,1,2.6,8,1,北北西,8,1,3.9,8,1
2018/2,5.4,8,1,167.3,0,8,1,2.6,8,1,北北西,8,1,5.8,8,1
2018/3,11.5,8,1,198.0,0,8,1,3.0,8,1,北北西,8,1,5.6,8,1
2018/4,17.0,8,1,201.8,0,8,1,3.5,8,1,南,8,1,5.9,8,1
2018/5,19.8,8,1,199.3,0,8,1,3.3,8,1,南,5,1,7.3,8,1
2018/6,22.4,8,1,163.1,0,8,1,3.2,8,1,南,8,1,8.1,8,1
2018/7,28.3,8,1,227.2,0,8,1,3.5,8,1,南,8,1,7.7,8,1
2018/8,28.1,8,1,217.4,0,8,1,3.5,8,1,南,8,1,7.5,8,1
2018/9,22.9,8,1,96.7,0,8,1,3.0,8,1,南,8,1,9.1,8,1
2018/10,19.1,8,1,139.0,0,8,1,2.6,8,1,北北西,8,1,7.0,8,1
2018/11,14.0,8,1,151.0,0,8,1,2.1,8,1,北北西,8,1,6.9,8,1
2018/12,8.3,8,1,145.3,0,8,1,2.6,8,1,北北西,5,1,6.0,8,1
